dataset_id,source_name,local_path,rights_status,allowed_use,action_required
DS-MASTER-ALL,All Vocabulary Master (JSON/CSV),06_Co_So_Du_Lieu_Tong_Hop/all_vocabulary_master.*,unknown,internal_reference_only,canonical_vocabulary_distillation_do_not_publish_verbatim
DS-N5-MASTER,N5 Master Vocabulary (JSON/CSV),01_Cap_Do_N5/07_Co_So_Du_Lieu_Tu_Vung_N5/tu_vung_n5_master.*,unknown,internal_reference_only,canonical_vocabulary_distillation_do_not_publish_verbatim
DS-N4-MASTER,N4 Master Vocabulary (JSON/CSV),02_Cap_Do_N4/06_Co_So_Du_Lieu_Tu_Vung_N4/tu_vung_n4_master.*,unknown,internal_reference_only,canonical_vocabulary_distillation_do_not_publish_verbatim
DS-N3-MASTER,N3 Master Vocabulary (JSON/CSV),03_Cap_Do_N3/07_Co_So_Du_Lieu_Tu_Vung_N3/tu_vung_n3_master.*,unknown,internal_reference_only,canonical_vocabulary_distillation_do_not_publish_verbatim
DS-N2-MASTER,N2 Master Vocabulary (JSON/CSV),04_Cap_Do_N2/05_Co_So_Du_Lieu_Tu_Vung_N2/tu_vung_n2_master.*,unknown,internal_reference_only,canonical_vocabulary_distillation_do_not_publish_verbatim
DS-N1-MASTER,N1 Master Vocabulary (JSON/CSV),05_Cap_Do_N1/03_Co_So_Du_Lieu_Tu_Vung_N1/tu_vung_n1_master.*,unknown,internal_reference_only,canonical_vocabulary_distillation_do_not_publish_verbatim
DS-MAZII-VOCAB,Mazii Vocabulary N1-N5,06_Co_So_Du_Lieu_Tong_Hop/mazii_vocabulary_n1_to_n5.json,unknown,internal_reference_only,verify_third_party_terms_use_for_lookup_only
DS-NHAIKANJI-VOCAB,NhaiKanji Textbooks Vocab,06_Co_So_Du_Lieu_Tong_Hop/nhaikanji_textbooks_vocab.json,unknown,internal_reference_only,third_party_audio_urls_must_not_be_proxied_or_redistributed
DS-PASSJP-VOCAB,PassJapanese Full Course Dump,06_Co_So_Du_Lieu_Tong_Hop/passjapanese_vocabulary_full.csv,unknown,internal_reference_only,proprietary_courseware_extract_only_dictionary_facts
DS-TSUNAGARU-MD,Tsunagaru Nihongo A1/A2 Courseware,00_Nhap_Mon_Va_Giao_Tiep_Co_Ban/01_Tsunagaru_Nihongo_A1_A2,unknown,internal_reference_only,verify_bunka_cho_educational_reuse_license
DS-THEMATIC-MD,Tu Vung Giao Tiep Chuyen De,00_Nhap_Mon_Va_Giao_Tiep_Co_Ban/02_Tu_Vung_Giao_Tiep_Chuyen_De,unknown,internal_reference_only,curated_thematic_lists_require_original_editorial
DS-MINNA-MD,Minna no Nihongo Textbook Lessons,"01_Cap_Do_N5/01_Giao_Trinh_Minna_No_Nihongo_N5,02_Cap_Do_N4/01_Giao_Trinh_Minna_No_Nihongo_N4",unknown,internal_reference_only,commercial_textbook_copyright_cleanroom_rewrite
DS-PASSJP-100D-MD,PassJapanese 100 Days N5/N4 Course,"01_Cap_Do_N5/02_Khoa_Hoc_100_Ngay_PassJapanese_N5,02_Cap_Do_N4/02_Khoa_Hoc_100_Ngay_PassJapanese_N4",unknown,internal_reference_only,editorial_commentary_copyright_cleanroom_rewrite
DS-SEKAI-MD,Sekai N5 Aanime Lessons,01_Cap_Do_N5/03_Giao_Trinh_Sekai_N5_Aanime,unknown,internal_reference_only,community_content_copyright_cleanroom_rewrite
DS-TANGO-MD,Tango Series N5-N1 Lessons,01_Cap_Do_N5/04_Giao_Trinh_Tango_1000_N5...05_Cap_Do_N1/02_Giao_Trinh_Tango_3000_N1,unknown,internal_reference_only,commercial_textbook_copyright_cleanroom_rewrite
DS-SPEEDMASTER-MD,Speed Master Series N5-N2 Lessons,01_Cap_Do_N5/05_Giao_Trinh_Speed_Master_N5...04_Cap_Do_N2/03_Giao_Trinh_Speed_Master_N2,unknown,internal_reference_only,commercial_textbook_copyright_cleanroom_rewrite
DS-SHINKANZEN-MD,Shinkanzen Master N4/N3 Lessons,"02_Cap_Do_N4/03_Giao_Trinh_Shinkanzen_Master_N4,03_Cap_Do_N3/02_Giao_Trinh_Shinkanzen_Master_N3",unknown,internal_reference_only,commercial_textbook_copyright_cleanroom_rewrite
DS-MIMIKARA-MD,Mimi Kara Oboeru Series N3-N1 Lessons,03_Cap_Do_N3/01_Giao_Trinh_Mimi_Kara_Oboeru_N3...05_Cap_Do_N1/01_Giao_Trinh_Mimi_Kara_Oboeru_N1,unknown,internal_reference_only,commercial_textbook_copyright_cleanroom_rewrite
DS-SOUMATOME-MD,Soumatome Goi N3/N2 Lessons,"03_Cap_Do_N3/03_Giao_Trinh_Soumatome_N3_Goi,04_Cap_Do_N2/02_Giao_Trinh_Soumatome_N2_Goi",unknown,internal_reference_only,commercial_textbook_copyright_cleanroom_rewrite
DS-JLPTVN-MD,JLPTVN Courseware Notes,"01_Cap_Do_N5/06_Lo_Trinh_30_Ngay_N5_JLPTVN,03_Cap_Do_N3/06_Chuyen_De_Tu_Vung_N3_JLPTVN",unknown,internal_reference_only,community_content_copyright_cleanroom_rewrite
DS-ASSETS-IMAGES,Tsunagaru Situational JPG Images,assets/vocabulary_images/*.jpg,unknown,internal_reference_only,exclude_from_production_distribution
